news_id,source_post_id,published_at_gmt,title,url,content_class,source_quality,relevance_score,filter_reason,matched_keywords,matched_exclusions,first_seen_at,last_seen_at,filter_rule_version
semiengineering_24278898,24278898,2026-07-16,New Nonvolatile Memory Winners Emerge,https://semiengineering.com/new-nonvolatile-memory-winners-emerge/,editorial,A,0,low_relevance,packaging,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278947,24278947,2026-07-16,Accelerating Sustainability With Smart Manufacturing,https://semiengineering.com/accelerating-sustainability-with-smart-manufacturing/,vendor_blog,C,0,low_relevance,packaging,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278952,24278952,2026-07-16,From Feature-Scale Simulation To Digital Twins: Helping Process Engineers Tackle Growing Complexity,https://semiengineering.com/from-feature-scale-simulation-to-digital-twins-helping-process-engineers-tackle-growing-complexity/,vendor_blog,C,0,low_relevance,packaging,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278886,24278886,2026-07-15,"AI In Chip Design: Lots Of Promise, Plenty Of Unanswered Questions",https://semiengineering.com/ai-in-chip-design-lots-of-promise-plenty-of-unanswered-questions/,editorial,B,2,low_relevance,EDA,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278846,24278846,2026-07-14,AI Models On The Edge,https://semiengineering.com/ai-models-on-the-edge/,video,C,0,low_relevance,,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278861,24278861,2026-07-14,Research Bits: July 14,https://semiengineering.com/research-bits-july-14/,roundup,B,0,low_relevance,,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278774,24278774,2026-07-13,Startup Funding: Q2 2026,https://semiengineering.com/startup-funding-q2-2026/,editorial,A,0,low_relevance,,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278795,24278795,2026-07-13,"Innovation First, AI Second: Lessons From SSN And The Future Of Test",https://semiengineering.com/innovation-first-ai-second-lessons-from-ssn-and-the-future-of-test/,vendor_blog,C,2,low_relevance,EDA,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278800,24278800,2026-07-13,Change Is Tough,https://semiengineering.com/change-is-tough/,opinion,B,2,low_relevance,EDA,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278823,24278823,2026-07-12,Monolithic CMOS Platform Integrates Piezo-Optomechanical Photonics (Mitre et al.),https://semiengineering.com/monolithic-cmos-platform-integrates-piezo-optomechanical-photonics-mitre-et-al/,technical_paper,B,0,low_relevance,,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278825,24278825,2026-07-12,"3nm GAA-FET SRAM Review Evaluates Self-Heating And Radiation Hardness (SJSU, Sandia)",https://semiengineering.com/3nm-gaa-fet-sram-review-evaluates-self-heating-and-radiation-hardness-sjsu-sandia/,technical_paper,B,2,low_relevance,design verification|reliability,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278828,24278828,2026-07-12,Hardware Abstraction Layer Study Targets Software-Defined Vehicles (U. of Stuttgart),https://semiengineering.com/hardware-abstraction-layer-study-targets-software-defined-vehicles-u-of-stuttgart/,technical_paper,B,2,low_relevance,design verification,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278830,24278830,2026-07-12,Open DRAM Model For PIM Analysis In 3D DRAM (Georgia Tech),https://semiengineering.com/open-dram-model-for-pim-analysis-in-3d-dram-georgia-tech/,technical_paper,B,2,low_relevance,design verification,,2026-07-17,2026-07-18,news_filter_v1_1
semiengineering_24278188,24278188,2026-06-29,Rethinking Chip Verification,https://semiengineering.com/rethinking-chip-verification/,unknown,C,2,low_relevance,EDA|bottleneck,,2026-06-29,2026-06-29,news_filter_v1_1
