news_id,source_id,source_post_id,published_at_local,published_at_gmt,modified_at_gmt,title,excerpt,url,author_id,category_ids,category_names,tag_ids,tag_names,content_class,source_quality,matched_tickers,matched_aliases,matched_themes,matched_subthemes,matched_keywords,matched_exclusions,company_score,theme_score,taxonomy_score,exclusion_score,relevance_score,rule_filter_status,filter_status,filter_reason,emerging_candidate,manual_override,filter_rule_version,first_seen_at,last_seen_at
semiengineering_24278900,semiengineering,24278900,2026-07-16,2026-07-16,2026-07-16,Optimizing The Nano-TSV-to-BPR Connection In Backside Power Networks,A realistic virtual model uncovers the impact of rounded corners on sensitivity to overlay-induced resistance.,https://semiengineering.com/optimizing-the-nano-tsv-to-bpr-connection-in-backside-power-networks/,954,145|1503|7777,"Blogs - MD|Manufacturing, Packaging and Materials|Perfecting The Process",10196|1328|13357|365|376|41208|469|54128|5439|5721|6100|64839|7778|8939,BSPDN|EPE|Lam Research|TSVs|backside power delivery|buried power rails|digital twins|edge placement error|overlay|power delivery network|process modeling|resistance|through-silicon vias|virtual fabrication,vendor_blog,C,,,AI Infrastructure|Emerging Research,Bottleneck|Equipment|Power,backside power delivery|packaging|power delivery network,,0,0,4,0,4,review,review,moderate_relevance,False,False,news_filter_v1_1,2026-07-17,2026-07-17
semiengineering_24278928,semiengineering,24278928,2026-07-16,2026-07-16,2026-07-16,Why Metal TIM Warpage Simulations Fail—And How To Fix Them,Characterizing the properties of thermal interface materials under actual application conditions.,https://semiengineering.com/why-metal-tim-warpage-simulations-fail-and-how-to-fix-them/,1786,145|1503|44934,"Blogs - MD|Chip, Package, System|Manufacturing, Packaging and Materials",10504|13614|1592|335|56228|6126|6529|793,Amkor|TIMs|advanced packaging|characterization|packaging|thermal dissipation|thermal interface materials|warpage,vendor_blog,C,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Equipment,advanced packaging|packaging|thermal,,0,0,2,0,2,review,review,emerging_candidate,True,False,news_filter_v1_1,2026-07-17,2026-07-17
semiengineering_24278884,semiengineering,24278884,2026-07-15,2026-07-15,2026-07-14,Blog Review: July 15,PCIe ATS verification; physical AI; adopting AI EDA; custom AMBA Viz plugins; V2G; fab construction workforce.,https://semiengineering.com/blog-review-july-15-3/,98,143|3|51384|65956,Blog Reviews|Business|News|System-Level Design,40|445|45448|5284|69431|7|8,ARM|Cadence|Keysight|SEMI|Siemens EDA|Skanska|Synopsys,roundup,B,,,Software,Developer Tools,EDA,,0,2,2,0,4,review,review,moderate_relevance,False,False,news_filter_v1_1,2026-07-17,2026-07-17
semiengineering_24278869,semiengineering,24278869,2026-07-13,2026-07-14,2026-07-14,EDA/SIP Revenue Up 12.7%; APAC Roars Back,Market strength remains in double digits for most categories.,https://semiengineering.com/eda-revenue-up-12-7-apac-roars-back/,43,3,News,124|1942|217|32|445|8450,EDA|ESD Alliance|IP|SEMI|Silvaco|business,editorial,A,,,Software,Developer Tools,EDA,,0,4,2,0,6,review,review,moderate_relevance,False,False,news_filter_v1_1,2026-07-17,2026-07-17
semiengineering_24278804,semiengineering,24278804,2026-07-13,2026-07-13,2026-07-10,Rethinking Ethernet For The AI Scale-Up Era: Inside ESUN,"Evolving Ethernet into a lossless, low-latency, deterministic transport built for the way AI accelerators actually talk to each other.",https://semiengineering.com/rethinking-ethernet-for-the-ai-scale-up-era-inside-esun/,1739,144|1493|2671,Blogs - LPHP|IP And LP In SoCs|Low Power-High Performance,1060|11638|1325|2316|63491|66896|69373|7,AI|AI infrastructure|ESUN|Ethernet|Synopsys|latency|networks|scale-up network,vendor_blog,C,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|GPU|Networking,AI accelerators|latency|scale up network,,0,5,2,0,7,review,review,emerging_candidate,True,False,news_filter_v1_1,2026-07-17,2026-07-17
semiengineering_24278816,semiengineering,24278816,2026-07-12,2026-07-12,2026-07-12,AI Framework Maps Thermal Behavior In 3D Photonic Circuits (U. of Florida et al.),"Researchers from University of Florida, ficonTEC Service, and Colorado State University published a technical paper titled “AI-Driven Thermal Mapping and Management in 3D Integrated Photonic Circuits.” Abstract Excerpt: “Photonic Integrated Circuits (PICs) are advancing high-performance computing, data centers, and sensing, yet three-dimensional (3D) PICs introduce critical thermal management challenges due to high-density bonding and heterogeneous… » read more",https://semiengineering.com/ai-framework-maps-thermal-behavior-in-3d-photonic-circuits-u-of-florida-et-al/,363,47208|47213|47215|48423|9508,AI/ML/DL|Optoelectronics / Photonics|Packaging|Power & Performance|Technical Papers,1017|11419|14351|38302|38356|40380|58222|60903|6810|69374|69375|69376|69377|69378|69379|69380|846,3D heterogeneous integration|3D integrated photonic circuits|AI-driven thermal modeling|Colorado State University|IMAPSource Proceedings|PICs|University of Florida|co-packaged optics|design-based heuristic analysis|ficonTEC Service USA|heterogeneous integration|photonic integrated circuits|silicon photonics|sparse sensor data|thermal management|thermal mapping|thermal sensors,technical_paper,B,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Equipment|Optical|Optical Test & Metrology,co packaged optics|data centers|heterogeneous integration|packaging|photonics packaging|silicon photonics|thermal|thermal management,,0,0,8,0,8,review,review,emerging_candidate,True,False,news_filter_v1_1,2026-07-17,2026-07-17
semiengineering_24278039,semiengineering,24278039,2026-06-26,2026-06-26,2026-06-26,Chip Industry Week In Review,Onsemi to buy Synaptics; IBM’s 7Å chip w/40% more SRAM area; 1nm MoS2 nanotubes; AI pressure points; memory updates; $250M CHIPS Act award; trade secret theft; new advanced packaging site; MEMS capacity; humanoids; earnings.,https://semiengineering.com/chip-industry-week-in-review-144/,7,3|51384|51385,Business|Business News|News,10780|11058|11423|1236|12636|1303|1305|131|1314|15216|1723|1765|18|185|1974|20978|21|21359|22|252|2750|2875|33064|3336|347|377|397|4097|445|446|45776|463|46916|46918|47016|47914|4834|4905|50511|51008|51373|51861|53639|545|55715|56|561|570|57968|59278|6090|61069|61923|62124|62309|62793|63155|63265|6329|64641|64850|65394|66325|66589|674|68506|69179|69182|69183|69184|69185|7|7310|74|754|788|8696|9928,ANSSI|ASML|Advantest|Agility Robotics|AlixLabs|Amazon Web Services|Anthropic|Applied Materials|Arteris|BAE Systems|Binghamton University|BrainChip|Broadcom|Bruker|ChipAgents|Chips JU|Cornell University|Counterpoint Research|ETH Zurich|GTI|Gartner|GlobalFoundries|Groq|Hoover Institution|IBM|IBM Research|IDC|IQM Quantum Computers|ITIF|JCET|Lyft|Meta|Micron Technology|Modular Inc|NHanced Semiconductors|Nearfield Instruments|Nissan|Nvidia|OpenAI|OpenLight|Palo Alto Networks|Penn State|QuEra|Qualcomm|Quantum Computing Inc|QuantumDiamonds|QuantumScape|QubiC|Rice University|SEMI|SK Hynix|SK keyfoundry|STMicroelectronics|Samsung|Semicon West|Si2|SiEngine Technology|Slate Auto|Sony Semiconductor Solutions|Synaptics|Synopsys|TNO|Teledyne MEMS|Tesla|Toto|UNLV|University of Tokyo|Upscale AI|Vitrek|Waymo|X-FAB|Yole|Yole Group|advanced packaging news|computing news|i-Pulse|imec|semiconductor news,roundup,B,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Equipment,advanced packaging|capacity|packaging,,0,5,2,0,7,review,review,emerging_candidate,True,False,news_filter_v1_1,2026-06-27,2026-06-29
semiengineering_24278114,semiengineering,24278114,2026-06-25,2026-06-25,2026-06-25,I/O Design Challenges Grow In AI Data Centers And HPC Clusters,"Physical I/Os can be a chokepoint for high-performance chips and high-speed interconnect protocols, requiring design tradeoffs and extra reliability measures.",https://semiengineering.com/i-o-design-challenges-grow-in-ai-data-centers-and-hpc-clusters/,1357,143|2,System-Level Design|Top Stories,12900|170|18|2587|2782|41111|60910|62492|64641|67132|679|7|8|894,Arteris|Axiomise|Baya Systems|Cadence|ChipAgents|HPC|I/Os|Keysight EDA|Rambus|Synopsys|Vinci|data center|interconnects|interfaces,editorial,A,,,Emerging Research|Software,AI Hardware|Bottleneck|Developer Tools,EDA|data center|data centers|interconnect|reliability,,0,0,2,0,2,review,review,emerging_candidate,True,False,news_filter_v1_1,2026-06-25,2026-06-29
semiengineering_24278028,semiengineering,24278028,2026-06-24,2026-06-24,2026-06-24,How Far Left Can You Shift?,Complex chips require much more work earlier in the flow.,https://semiengineering.com/how-far-left-can-you-shift/,43,1129|143,System-Level Design|Videos,10|10202|124|17053|313|3526|4521|5042|7,AI chips|EDA|Synopsys|chiplets|reuse|semiconductor IP|semiconductor design|shift left|verification,video,C,,,AI Infrastructure|Software,Developer Tools|Equipment,EDA|chiplets,,0,0,4,0,4,review,review,moderate_relevance,False,False,news_filter_v1_1,2026-06-25,2026-06-29
semiengineering_24277569,semiengineering,24277569,2026-06-22,2026-06-22,2026-06-11,"Cloud HPC For AI: Addressing Latency, Cost, And Scale At The Architectural Level","Low-latency fabrics, topology-aware scheduling, and tiered memory bring compute closer to data and reduce coordination overhead.",https://semiengineering.com/cloud-hpc-for-ai-addressing-latency-cost-and-scale-at-the-architectural-level/,1008,144|1493|2671,Blogs - LPHP|IP And LP In SoCs|Low Power-High Performance,122|21296|2316|329|7|894,AI|HPC|Synopsys|cloud|data centers|hybrid cloud,vendor_blog,C,,,Emerging Research,AI Hardware|Bottleneck,data centers|latency,,0,0,0,0,0,review,review,emerging_candidate,True,False,news_filter_v1_1,2026-06-25,2026-06-27
semiengineering_24277900,semiengineering,24277900,2026-06-21,2026-06-22,2026-06-22,"Tool-Assisted LLM Targets RTL Code Generation (UC Riverside, Futurewei)","Researchers from University of California, Riverside and Futurewei published a technical paper titled “LLM4RTL: Tool-Assisted LLM for RTL Generation.” Abstract: “Large language models (LLMs) have facilitated impressive progress in software engineering, code generation, tooling, and systems. Concurrently, a significant body of research has developed which explores a growing variety of methods and systems for applying… » read more",https://semiengineering.com/tool-assisted-llm-targets-rtl-code-generation-uc-riverside-futurewei/,363,47208|47216|9508,AI/ML/DL|Design & Verification|Technical Papers,124|150|27207|4325|5609|57540|65651|66827|69133|69134|69135|69136,AI for chip design|EDA|Futurewei|LLM4RTL|RTL code generation|RTL generation|University of California Riverside|Verilog|VerilogEval|chip design|hardware design|large language models,technical_paper,B,,,Software,Developer Tools,EDA|design verification,,0,0,4,0,4,review,review,moderate_relevance,False,False,news_filter_v1_1,2026-06-25,2026-06-27
