run_at,status,articles_seen,articles_analyzed,articles_skipped,articles_failed,model,prompt_version,error_message
2026-06-28T20:02:33Z,partial_failed,19,3,0,2,deepseek-v4-flash,deepseek_news_v1,
2026-06-28T20:34:51Z,partial_failed,19,5,1,2,deepseek-v4-flash,deepseek_news_v1,
2026-06-28T21:06:29Z,partial_failed,19,3,4,2,deepseek-v4-flash,deepseek_news_v1,
2026-06-28T21:36:22Z,ok,19,5,0,0,deepseek-v4-flash,deepseek_news_json_mode_v1,
2026-06-28T22:38:59Z,ok,19,14,5,0,deepseek-v4-flash,deepseek_news_json_mode_v1,
2026-06-29T13:20:45Z,ok,19,1,0,0,deepseek-v4-pro,deepseek_news_pro_nonthinking_v1,
2026-06-29T13:30:25Z,partial_failed,19,5,1,2,deepseek-v4-pro,deepseek_news_pro_nonthinking_v1,
2026-06-29T13:35:43Z,partial_failed,19,15,4,2,deepseek-v4-pro,deepseek_news_pro_nonthinking_v1,
2026-06-29T14:58:59Z,skipped,0,0,0,0,deepseek-v4-flash,deepseek_flash_preprocess_v1,
2026-06-29T15:01:38Z,skipped,0,0,0,0,deepseek-v4-flash,deepseek_flash_preprocess_v1,
