news_id,source_id,source_post_id,published_at_local,published_at_gmt,modified_at_gmt,title,excerpt,url,author_id,category_ids,category_names,tag_ids,tag_names,content_class,source_quality,matched_tickers,matched_aliases,matched_themes,matched_subthemes,matched_keywords,matched_exclusions,company_score,theme_score,taxonomy_score,exclusion_score,relevance_score,rule_filter_status,filter_status,filter_reason,emerging_candidate,manual_override,filter_rule_version,first_seen_at,last_seen_at
semiengineering_24278867,semiengineering,24278867,2026-07-17,2026-07-17,2026-07-17,Chip Industry Week In Review,"Intel’s expansion; Cadence AI super agent for PCB, advanced packaging; photonics fab wars; earlier Yongin fab; German funding; new CHIPS Act award; HBM standard; Quadric funding; AMS acquisition; earnings; Rapidus teams up.",https://semiengineering.com/chip-industry-week-in-review-147/,7,3|51384|51385,Business|Business News|News,11463|1187|14618|15110|1723|1765|18|20|21|2707|272|27737|29733|3057|306|3373|3758|377|397|40|41600|42|4390|445|44632|4464|44697|463|46395|46496|46524|46525|46664|4682|46845|469|4700|47019|47027|47884|4834|505|51820|51861|5284|53371|53639|545|55721|5722|57638|58344|61213|62438|62492|63155|63889|64641|64850|65394|65396|65664|6667|66685|6785|679|68|68173|68253|69436|69437|69439|69440|69441|69442|69443|69444|69445|69446|69447|69448|69449|69450|69451|69452|69453|7|701|714|8|8325,AMD|ARM|ASML|Advantest|Argonne|Arteris|Barcelona Supercomputing Center|Baya Systems|Bosch|CISA|CXMT|Cadence|Canada|ChipAgents|Chipmind|Cloudberry VC|DFSX|Diodes|Diraq|ETH Zurich|Eindhoven University of Technology|Elevate Semiconductor|Equal1|EuroTPC|European Commission|European Space Agency|Forge Nano|Global Foundries|Government of India|Hardwear.io|ITIF|Infineon|Intel|Intel Foundry|Iridium|JEDEC|KAIST|Kandou AI|Keysight|Lam Research|Liquid Instruments|Louisiana|Meta|Micron|Microtronic|Mitsubishi Chemical|NSF|Nanya Technology|National Science Foundation|Nebius|Nvidia|Ode with Anthropic|Pasqal|Photon Queue|PsiQuantum|Q-PLANET|Quadric|QuiX Quantum|Rambus|Rapidus|Reflection|SEMI|SILITH|SK Hynix|Samsung|Siemens|Siemens Cre8Ventures|Strategic Materials Conference|Synopsys|TSMC|TU Munich; TU Ilmenau|TYLsemi|Texas A&M|Tower Semiconductor|TrendForce|U.S. Department of Commerce|UC Colorado|UIUC|UMC|University of Arizona|University of Missouri-Kansas City|Vitrek|Whalechip|Yole Group|Yuanjiwei|Zeiss|ZeroPoint|computing news|imec|semiconductor fab news|semiconductor news,roundup,B,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Equipment|Memory,HBM|advanced packaging|packaging,,0,10,0,0,10,keep,keep,strong_theme_match,True,False,news_filter_v1_1,2026-07-17,2026-07-18
semiengineering_24278890,semiengineering,24278890,2026-07-16,2026-07-16,2026-07-15,Co-Packaged Optics for Multi-Die Designs,"CPO reduces electrical loss, improves energy efficiency and reach, and enables bandwidth densities that are increasingly difficult to achieve with copper alone.",https://semiengineering.com/co-packaged-optics-for-multi-die-designs/,88,145|4,"Manufacturing, Packaging and Materials|Whitepapers",2305|40381|63601|7,CPO|Synopsys|multi-die designs|optical interconnect,whitepaper,C,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Optical|Power,CPO|bandwidth|co packaged optics|energy efficiency|interconnect|optical interconnect|packaging,,0,19,4,0,23,keep,keep,strong_theme_match,True,False,news_filter_v1_1,2026-07-17,2026-07-18
semiengineering_24278914,semiengineering,24278914,2026-07-16,2026-07-16,2026-07-16,Alternative Materials For Hybrid Bonding,"Nanotwinned copper, SiCN, BCB, and passivating metals are all possibilities",https://semiengineering.com/alternative-materials-for-hybrid-bonding/,25,145|2,"Manufacturing, Packaging and Materials|Top Stories",11419|25|377|43216|4508|69433,3D-IC|Dalian Jiaotong University|Osaka University|heterogeneous integration|hybrid bonding|imec,editorial,A,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Equipment,heterogeneous integration|hybrid bonding|packaging,,0,10,4,0,14,keep,keep,strong_theme_match,True,False,news_filter_v1_1,2026-07-17,2026-07-18
semiengineering_24278920,semiengineering,24278920,2026-07-16,2026-07-16,2026-07-16,Can Fine-Pitch Hybrid Bonding Go High Volume?,"Hybrid bonding already works in production, but finer-pitch die-to-wafer integration must preserve fab-level surface and alignment control at back-end volumes and costs.",https://semiengineering.com/can-fine-pitch-hybrid-bonding-go-high-volume/,1303,145|2,"Manufacturing, Packaging and Materials|Top Stories",10202|10504|10706|10909|11419|11499|13635|13654|1824|2064|25|28|3269|34710|43216|44632|469|47836|535|565|57638|59418|6529|689|69434|69435|7|793|842,3D-IC|Amkor|Brewer Science|CEA-Leti|CTE|ECTC|HVM|IMAPS|Intel Foundry|Lam Research|Microtronic|Mitsubishi Chemical Group|OSATs|SRAM|Synopsys|Wooptix|advanced packaging|chiplets|design rules|die-to-wafer bonding|fine pitch|heterogeneous integration|hybrid bonding|inspection|known good die|metrology|temporary bonding|wafer-to-wafer bonding|warpage,editorial,A,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Equipment,advanced packaging|chiplets|heterogeneous integration|hybrid bonding|inspection|metrology|packaging,,0,15,8,0,23,keep,keep,strong_theme_match,True,False,news_filter_v1_1,2026-07-17,2026-07-18
semiengineering_24278842,semiengineering,24278842,2026-07-13,2026-07-13,2026-07-13,Near-memory Dequantization Architecture In Custom HBM for LLM inference (SK hynix),"Researchers from SK hynix published a technical paper titled “StreamDQ: Near-Memory Weight DeQuantization in Custom HBM for Scalable AI Inference Acceleration.” The paper proposes StreamDQ for “a lightweight architectural enhancement that enables on-the-fly dequantization in the memory subsystem for high-throughput, large-batch LLM inference,” and reports “up to 7.08× speedup and 90.23% lower energy” for mixed-precision… » read more",https://semiengineering.com/near-memory-dequantization-architecture-in-custom-hbm-for-llm-inference-sk-hynix/,363,47208|47211|47212|47213|47215|9508,AI/ML/DL|Architectures|Memory|Packaging|Power & Performance|Technical Papers,1379|16267|1638|29049|36747|545|60935|63871|69421|69422|69423|69424|69425|69426|69427|69428|69429|961,AI inference acceleration|CUDA-core dequantization|DQBs|DeQuantization Blocks|HBM|LLM inference|SK Hynix|StreamDQ|cloud-scale LLM serving|custom HBM|energy efficiency|high-bandwidth memory|memory subsystem|mixed-precision GEMM|near memory processing|near-memory computing|weight dequantization|weight-only quantization,technical_paper,B,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Memory|Power,HBM|bandwidth|energy efficiency|high bandwidth memory|packaging,,0,15,6,0,21,keep,keep,strong_theme_match,True,False,news_filter_v1_1,2026-07-17,2026-07-18
semiengineering_24278819,semiengineering,24278819,2026-07-12,2026-07-12,2026-07-12,"Room-temperature, CMOS-compatible Photonic Quantum Processor (NUS et al.)","Researchers from Rotonium, Centre for Quantum Technologies at National University of Singapore, Inveriant, Politecnico di Milano, and CNIT published a technical paper titled “Design and Benchmarking of a Quantum Photonic Chip.” Abstract Excerpt: The paper presents a quantum photonic processor based on “standard CMOS-compatible manufacturing processes” and operating with single photons at room temperature. The… » read more",https://semiengineering.com/room-temperature-cmos-compatible-photonic-quantum-processor-nus-et-al/,363,47208|48419|48423|9508,AI/ML/DL|Optoelectronics / Photonics|Quantum|Technical Papers,1168|11996|44654|456|46242|50553|51215|69381|69382|69383|69384|69385|69386|69387|69388|69389|69390|846,CMOS-compatible manufacturing|CNIT|Centre for Quantum Technologies|IEEE QCE 2026|Inveriant|National University of Singapore|Politecnico di Milano|QPU benchmarking|RP000|Rotonium|integrated photonics|photonic chip|photonic quantum processor|quantum computing|quantum machine learning|quantum photonic chip|room-temperature quantum computing|silicon photonics,technical_paper,B,,,AI Infrastructure|Emerging Research|Quantum,AI Hardware|Optical|Quantum Hardware,quantum processor|silicon photonics,,0,10,4,0,14,keep,keep,strong_theme_match,False,False,news_filter_v1_1,2026-07-17,2026-07-18
semiengineering_24278094,semiengineering,24278094,2026-06-25,2026-06-25,2026-06-24,Wafer-Scale vs. Chiplets: The New War? Part 2,Moving data fast enough so that compute stops waiting.,https://semiengineering.com/wafer-scale-vs-chiplets-the-new-war-part-2/,345,143|1483|66037,Blogs - SLD|System-Level Design|The Next Thread,10202|28523|335|62492|6529|684|68870|820|96|97,Baya Systems|CoWoS|NoC|advanced packaging|chiplets|data movement|interconnect|network on chip|packaging|wafer-scale chips,vendor_blog,C,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Equipment|Networking,advanced packaging|chiplets|data movement|interconnect|packaging,,0,6,6,0,12,keep,keep,high_combined_relevance,True,False,news_filter_v1_1,2026-06-25,2026-06-29
semiengineering_24278104,semiengineering,24278104,2026-06-25,2026-06-25,2026-06-24,Realizing The Future Of 3D-IC Design,Designing heterogeneously integrated packages necessitates a system-centric co-design approach.,https://semiengineering.com/realizing-the-future-of-3d-ic-design/,1061,143|1483|1485,A System Perspective|Blogs - SLD|System-Level Design,10202|11419|1328|13357|13619|1652|2566|32|354|45448|46930|6529,3D ICs|IP|PDN|PPA|STCO|Siemens EDA|advanced packaging|chiplets|digital twins|heterogeneous integration|power delivery network|system-technology co-optimization,vendor_blog,C,,,AI Infrastructure|Emerging Research|Software,AI Hardware|Bottleneck|Developer Tools|Equipment|Power,EDA|advanced packaging|chiplets|heterogeneous integration|packaging|power delivery network,,0,0,10,0,10,keep,keep,high_combined_relevance,True,False,news_filter_v1_1,2026-06-25,2026-06-29
semiengineering_24278120,semiengineering,24278120,2026-06-25,2026-06-25,2026-06-24,Reducing Avoidable Memory Trips In HBM Systems,Last-level cache helps manage data movement and reduces pressure on the external memory subsystem.,https://semiengineering.com/reducing-avoidable-memory-trips-in-hbm-systems/,1780,143|1483|1489,Blogs - SLD|NoC NoC|System-Level Design,18|19|28|28523|374|5627|5775|7364|961,Arteris|HBM|LLC|Last-Level Cache|SRAM|cache|data movement|memory|memory hierarchy,vendor_blog,C,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Memory|Networking,HBM|data movement,,0,15,4,0,19,keep,keep,strong_theme_match,True,False,news_filter_v1_1,2026-06-25,2026-06-29
semiengineering_24277998,semiengineering,24277998,2026-06-24,2026-06-24,2026-06-23,UCIe vs. BoW: Practical Insights For Choosing The Right Chiplet Standards,An application-oriented perspective on chiplet interconnect standards and their implications for next-gen system design.,https://semiengineering.com/ucie-vs-bow-practical-insights-for-choosing-the-right-chiplet-standards/,1097,143|4,System-Level Design|Whitepapers,10202|40987|46196|50607|5284|69170|69171|8874,BoW|Bunch Of Wires|Keysight|UCIe|channel loss|chiplets|crosstalk|eye diagrams,whitepaper,C,,,AI Infrastructure|Emerging Research,AI Hardware|Bottleneck|Equipment|Networking,UCIe|chiplet|chiplets|interconnect,,0,17,4,0,21,keep,keep,strong_theme_match,True,False,news_filter_v1_1,2026-06-25,2026-06-29
